movie,year,imdb,metascore,votes
Captain Marvel,2019,6.8,64,547632
Spider-Man: Far from Home,2019,7.4,69,477831
Star Wars: Episode IX - The Rise of Skywalker,2019,6.5,53,441462
Ford v Ferrari,2019,8.1,81,380294
The Irishman,2019,7.8,94,379962
Jojo Rabbit,2019,7.9,58,378785
John Wick: Chapter 3 - Parabellum,2019,7.4,73,334625
The Gentlemen,2019,7.8,51,328321
Shazam!,2019,7.0,71,327772
Midsommar,2019,7.1,72,302426
Marriage Story,2019,7.9,94,301487
Us,2019,6.8,81,286677
Uncut Gems,2019,7.4,91,275087
Alita: Battle Angel,2019,7.3,53,263690
Aladdin,2019,6.9,53,261839
It Chapter Two,2019,6.5,58,257253
Toy Story 4,2019,7.7,84,245559
Jumanji: The Next Level,2019,6.7,58,244752
The Lion King,2019,6.8,55,241712
Glass,2019,6.6,43,239640
El Camino: A Breaking Bad Movie,2019,7.3,72,237484
Ad Astra,2019,6.5,80,231648
El hoyo,2019,7.0,73,216145
The Lighthouse,2019,7.4,83,209872
Fast & Furious Presents: Hobbs & Shaw,2019,6.5,60,209375
Little Women,2019,7.8,91,197719
Doctor Sleep,2019,7.3,59,188041
Dark Phoenix,2019,5.7,43,184630
Godzilla: King of the Monsters,2019,6.0,48,180385
Zombieland: Double Tap,2019,6.7,55,176716
Terminator: Dark Fate,2019,6.2,54,175372
6 Underground,2019,6.1,41,173579
Rocketman,2019,7.3,69,172923
Frozen II,2019,6.8,64,168958
Pokémon: Detective Pikachu,2019,6.5,53,161306
Yesterday,2019,6.8,55,150874
Ready or Not,2019,6.8,64,146181
Klaus,2019,8.1,65,145914
Men in Black: International,2019,5.6,38,133224
Triple Frontier,2019,6.4,61,127261
How to Train Your Dragon: The Hidden World,2019,7.4,71,126722
The King,2019,7.3,62,126224
Murder Mystery,2019,6.0,38,126163
Sound of Metal,2019,7.7,82,123051
The Two Popes,2019,7.6,75,122722
Escape Room,2019,6.4,48,120618
Booksmart,2019,7.1,84,116717
Bombshell,2019,6.8,64,113635
Gemini Man,2019,5.7,38,113017
Long Shot,2019,6.8,67,110602
Maleficent: Mistress of Evil,2019,6.6,43,103631
Hustlers,2019,6.3,79,99207
Rambo: Last Blood,2019,6.1,26,97311
Brightburn,2019,6.1,44,97204
Angel Has Fallen,2019,6.4,45,96601
"Extremely Wicked, Shockingly Evil and Vile",2019,6.7,52,92933
Pet Sematary,2019,5.7,57,91957
The Highwaymen,2019,6.9,58,90651
I Am Mother,2019,6.7,64,90482
Hellboy,2019,5.2,31,89873
Polar,2019,6.3,19,89071
Portrait de la jeune fille en feu,2019,8.1,95,88802
The Peanut Butter Falcon,2019,7.6,70,88738
Dark Waters,2019,7.6,73,87053
Richard Jewell,2019,7.5,68,86080
Midway,2019,6.7,47,84513
Crawl,2019,6.1,60,83569
Fighting with My Family,2019,7.1,68,80701
Anna,2019,6.6,40,80208
A Beautiful Day in the Neighborhood,2019,7.2,80,78999
The Dead Don't Die,2019,5.4,53,77392
Last Christmas,2019,6.5,50,77129
Scary Stories to Tell in the Dark,2019,6.2,61,75396
Dumbo,2019,6.3,51,75217
Annabelle Comes Home,2019,5.9,53,74488
Fractured,2019,6.4,36,73903
Happy Death Day 2U,2019,6.2,57,73281
Charlie's Angels,2019,4.9,52,72615
Isn't It Romantic,2019,5.9,60,69838
Cold Pursuit,2019,6.2,57,68886
Just Mercy,2019,7.6,68,66782
21 Bridges,2019,6.6,51,66426
The Lego Movie 2: The Second Part,2019,6.6,65,65976
Five Feet Apart,2019,7.2,53,64911
The Farewell,2019,7.5,89,63619
The Secret Life of Pets 2,2019,6.4,55,61545
Velvet Buzzsaw,2019,5.7,61,61050
Dolemite Is My Name,2019,7.2,76,60644
Guns Akimbo,2019,6.3,42,60429
The Hustle,2019,5.4,35,59394
Dolor y gloria,2019,7.5,87,57844
Vivarium,2019,5.8,64,57671
Motherless Brooklyn,2019,6.8,60,56911
Always Be My Maybe,2019,6.8,64,56159
In the Tall Grass,2019,5.4,46,55862
Downton Abbey,2019,7.4,64,55454
Captive State,2019,6.0,54,54406
After,2019,5.2,30,54116
Shaft,2019,6.4,40,53219
Ma,2019,5.6,53,52831
In the Shadow of the Moon,2019,6.2,48,52762
Child's Play,2019,5.7,48,51612
Cats,2019,2.8,32,50934
The Laundromat,2019,6.3,57,50772
Judy,2019,6.8,66,50388
The Curse of La Llorona,2019,5.2,41,49837
The Dirt,2019,6.9,39,49158
I See You,2019,6.8,65,48894
Spies in Disguise,2019,6.8,54,48317
Togo,2019,7.9,69,48259
Stuber,2019,6.1,42,47390
Official Secrets,2019,7.3,63,47342
Color Out of Space,2019,6.1,70,47118
The Lodge,2019,6.0,64,46352
The Professor and the Madman,2019,7.2,27,45746
The Silence,2019,5.3,25,45125
A Rainy Day in New York,2019,6.5,38,43440
The Report,2019,7.2,66,42887
The Good Liar,2019,6.7,55,41470
Serenity,2019,5.4,37,41238
Tolkien,2019,6.8,48,40418
Bad Education,2019,7.1,79,40065
Code 8,2019,6.1,48,39896
Tenki no ko,2019,7.5,72,39371
Gully Boy,2019,7.9,65,39179
The Vast of Night,2019,6.7,84,38907
The Addams Family,2019,5.8,46,38531
Abominable,2019,7.0,61,38301
The Boy Who Harnessed the Wind,2019,7.6,68,37982
Countdown,2019,5.4,31,37746
Late Night,2019,6.5,70,37420
The Art of Self-Defense,2019,6.6,65,37380
Honey Boy,2019,7.2,73,37076
The Informer,2019,6.6,61,36081
